Date,Adj. Close
04-01-2016,52.1815978
05-01-2016,52.41965253
06-01-2016,51.4674336
07-01-2016,49.67726199
08-01-2016,49.82961702
11-01-2016,49.80105045
12-01-2016,50.25811554
13-01-2016,49.17258596
14-01-2016,50.57234779
15-01-2016,48.55364365
19-01-2016,48.1441895
20-01-2016,48.36319986
21-01-2016,48.06801199
22-01-2016,49.79152826
25-01-2016,49.3154188
26-01-2016,49.67726199
27-01-2016,48.772654
28-01-2016,49.56775681
29-01-2016,52.45774129
01-02-2016,52.09589809
02-02-2016,50.46760371
03-02-2016,49.6677398
04-02-2016,49.51538477
05-02-2016,47.76330193
08-02-2016,47.04913772
09-02-2016,46.92534926
10-02-2016,47.3348034
11-02-2016,47.31575903
12-02-2016,48.08705637
16-02-2016,48.99166436
17-02-2016,50.26703945
18-02-2016,50.04648586
19-02-2016,49.69168227
22-02-2016,50.48759304
23-02-2016,49.07796793
24-02-2016,49.25057509
25-02-2016,49.96018229
26-02-2016,49.19303937
29-02-2016,48.79028934
01-03-2016,50.42046803
02-03-2016,50.77527163
03-03-2016,50.19991445
04-03-2016,49.89305728
07-03-2016,48.93412864
08-03-2016,49.5286644
09-03-2016,50.66978948
10-03-2016,49.91223585
11-03-2016,50.89034307
14-03-2016,50.98623593
15-03-2016,51.38898596
16-03-2016,52.11777173
17-03-2016,52.41503961
18-03-2016,51.2930931
21-03-2016,51.6478967
22-03-2016,51.84927171
23-03-2016,51.75337885
24-03-2016,51.98352172
28-03-2016,51.34103953
29-03-2016,52.46298604
30-03-2016,52.78902178
31-03-2016,52.96162894
01-04-2016,53.28766468
04-04-2016,53.15341467
05-04-2016,52.31914675
06-04-2016,52.85614679
07-04-2016,52.22325388
08-04-2016,52.18489674
11-04-2016,52.07941459
12-04-2016,52.40545033
13-04-2016,53.07670037
14-04-2016,53.08628966
15-04-2016,53.36437897
18-04-2016,54.14111117
19-04-2016,54.07398616
20-04-2016,53.30684325
21-04-2016,53.48903969
22-04-2016,49.65332512
25-04-2016,49.96977157
26-04-2016,49.32728938
27-04-2016,48.84782506
28-04-2016,47.85053927
29-04-2016,47.82177141
02-05-2016,48.53137861
03-05-2016,47.73546783
04-05-2016,47.82177141
05-05-2016,47.88889642
06-05-2016,48.32041431
09-05-2016,48.01355714
10-05-2016,48.92453935
11-05-2016,48.95330721
12-05-2016,49.39441439
13-05-2016,48.98207507
16-05-2016,49.70127155
17-05-2016,48.78070006
18-05-2016,49.07042902
19-05-2016,48.59720504
20-05-2016,48.88693401
23-05-2016,48.31713371
24-05-2016,49.82372433
25-05-2016,50.33557883
26-05-2016,50.11345329
27-05-2016,50.52873148
31-05-2016,51.18545046
01-06-2016,51.04058598
02-06-2016,50.68325359
03-06-2016,50.01687697
06-06-2016,50.34523647
07-06-2016,50.31626357
08-06-2016,50.25831778
09-06-2016,49.85269723
10-06-2016,49.71749038
13-06-2016,48.42336767
14-06-2016,48.12398107
15-06-2016,47.98877422
16-06-2016,48.66480847
17-06-2016,48.41371003
20-06-2016,48.35576424
21-06-2016,49.43741904
22-06-2016,49.2442664
23-06-2016,50.13276856
24-06-2016,48.12398107
27-06-2016,46.77191257
28-06-2016,47.74733341
29-06-2016,48.80967295
30-06-2016,49.41810378
01-07-2016,49.40844615
05-07-2016,49.41810378
06-07-2016,49.62091405
07-07-2016,49.62091405
08-07-2016,50.50941621
11-07-2016,50.78948755
12-07-2016,51.38826074
13-07-2016,51.6779897
14-07-2016,51.90011524
15-07-2016,51.86148472
18-07-2016,52.11258315
19-07-2016,51.27236915
20-07-2016,53.99582142
21-07-2016,53.88958747
22-07-2016,54.63322515
25-07-2016,54.78774726
26-07-2016,54.81672016
27-07-2016,54.26623512
28-07-2016,54.28555039
29-07-2016,54.7394591
01-08-2016,54.64288278
02-08-2016,54.64288278
03-08-2016,55.01953043
04-08-2016,55.42515098
05-08-2016,55.97563602
08-08-2016,56.07221234
09-08-2016,56.20741919
